Name,Rarity,Type,Properties,Text
+3 Shield,very rare,armor (shield),AC +2 + Dex,"While holding this shield, you have a +3 bonus to AC. This bonus is in addition to the shield's normal bonus to AC.A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time."
+3 Shortbow,very rare,"weapon, simple weapon, ranged weapon","1d6, piercing, - ammunition (80/320 ft.), two-handed","You have a +3 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+3 Shortsword,very rare,"weapon, martial weapon, melee weapon","1d6, piercing, - finesse, light","You have a +3 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+3 Spear,very rare,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","You have a +3 bonus to attack and damage rolls made with this magic weapon. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
+3 Splint Armor,legendary,heavy armor,AC 17,"You have a +3 bonus to AC while wearing this armor.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
+3 Studded Leather Armor,legendary,light armor,AC 12 + Dex,"You have a +3 bonus to AC while wearing this armor.Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes."
+3 Wand of the War Mage,very rare,wand,,"While you are holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore half cover when making a spell attack."
+3 War Pick,very rare,"weapon, martial weapon, melee weapon","1d8, piercing",You have a +3 bonus to attack and damage rolls made with this magic weapon.
+3 Warhammer,very rare,"weapon, martial weapon, melee weapon","1d8, bludgeoning, - versatile (1d10)",You have a +3 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+3 Whip,very rare,"weapon, martial weapon, melee weapon","1d4, slashing, - finesse, reach","You have a +3 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
Adamantine Breastplate,uncommon,medium armor,AC 14 + Dex (max 2),"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Adamantine Chain Mail,uncommon,heavy armor,AC 16,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Adamantine Chain Shirt,uncommon,medium armor,AC 13 + Dex (max 2),"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Adamantine Half Plate Armor,uncommon,medium armor,AC 15 + Dex (max 2),"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.The wearer has disadvantage on Dexterity (Stealth) checks."
Adamantine Plate Armor,uncommon,heavy armor,AC 18,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Adamantine Ring Mail,uncommon,heavy armor,AC 14,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.The wearer has disadvantage on Dexterity (Stealth) checks."
Adamantine Scale Mail,uncommon,medium armor,AC 14 + Dex (max 2),"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks."
Adamantine Splint Armor,uncommon,heavy armor,AC 17,"This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit.This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Amulet of Health,rare,wondrous item,,Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution score is already 19 or higher without it.
Animated Shield,very rare,armor (shield),AC +2 + Dex,"While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are incapacitated or die, at which point the shield falls to the ground or into your hand if you have one free."
Armor of Invulnerability,legendary,heavy armor,AC 18,"You have resistance to nonmagical damage while you wear this armor. Additionally, you can use an action to make yourself immune to nonmagical damage for 10 minutes or until you are no longer wearing the armor. Once this special action is used, it can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
Battleaxe,none,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)", Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Battleaxe of Warning,uncommon,"weapon, martial weapon, melee weapon","1d8, slashing, - versatile (1d10)","This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
Belt of Cloud Giant Strength,legendary,wondrous item,,"While wearing this belt, your Strength score changes to 27. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score."
Belt of Dwarvenkind,rare,wondrous item,,"While wearing this belt, you gain the following benefits:Your Constitution score increases by 2, to a maximum of 20.You have advantage on Charisma (Persuasion) checks made to interact with dwarves.In addition, while attuned to the belt, you have a 50 percent chance each day at dawn of growing a full beard if you're capable of growing one, or a visibly thicker beard if you already have one.If you aren't a dwarf, you gain the following additional benefits while wearing the belt:You have advantage on saving throws against poison, and you have resistance against poison damage.You have darkvision out to a range of 60 feet.You can speak, read, and write Dwarvish."
Belt of Fire Giant Strength,very rare,wondrous item,,"While wearing this belt, your Strength score changes to 25. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score."
Belt of Frost Giant Strength,very rare,wondrous item,,"While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score."
Belt of Giant Strength,varies,wondrous item,,"Multiple variations of this item exist, as listed below:Belt of Cloud Giant StrengthBelt of Fire Giant StrengthBelt of Frost Giant StrengthBelt of Hill Giant StrengthBelt of Stone Giant StrengthBelt of Storm Giant Strength"
Belt of Hill Giant Strength,rare,wondrous item,,"While wearing this belt, your Strength score changes to 21. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score."
Belt of Stone Giant Strength,very rare,wondrous item,,"While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score."
Belt of Storm Giant Strength,legendary,wondrous item,,"While wearing this belt, your Strength score changes to 29. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score."
Black Dragon Scale Mail,very rare,medium armor,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to acid damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest black dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks."
Blue Dragon Scale Mail,very rare,medium armor,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to lightning damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest blue dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks."
Boots of the Winterlands,uncommon,wondrous item,,"These furred boots are snug and feel quite warm. While you wear them, you gain the following benefits:You have resistance to cold damage.You ignore difficult terrain created by ice or snow.You can tolerate temperatures as low as -50 degrees Fahrenheit without any additional protection. If you wear heavy clothes, you can tolerate temperatures as low as -100 degrees Fahrenheit."
Bracers of Archery,uncommon,wondrous item,,"While wearing these bracers, you have proficiency with the longbow and shortbow, and you gain a +2 bonus to damage rolls on ranged attacks made with such weapons."
Bracers of Defense,rare,wondrous item,,"While wearing these bracers, you gain a +2 bonus to AC if you are wearing no armor and using no shield."
Brass Dragon Scale Mail,very rare,medium armor,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to fire damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest brass dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks."
Breastplate,none,medium armor,AC 14 + Dex (max 2),"This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Acid Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to acid damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Cold Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to cold damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Fire Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to fire damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Force Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to force damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Lightning Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to lightning damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Necrotic Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to necrotic damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Poison Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to poison damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Psychic Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to psychic damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Radiant Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to radiant damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Breastplate of Thunder Resistance,rare,medium armor,AC 14 + Dex (max 2),"You have resistance to thunder damage while you wear this armor.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
Bronze Dragon Scale Mail,very rare,medium armor,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to lightning damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest bronze dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks."
Brooch of Shielding,uncommon,wondrous item,,"While wearing this brooch, you have resistance to force damage, and you have immunity to damage from the magic missile spell."
Chain Mail,none,heavy armor,AC 16,"Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Acid Resistance,rare,heavy armor,AC 16,"You have resistance to acid damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Cold Resistance,rare,heavy armor,AC 16,"You have resistance to cold damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Fire Resistance,rare,heavy armor,AC 16,"You have resistance to fire damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Force Resistance,rare,heavy armor,AC 16,"You have resistance to force damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Lightning Resistance,rare,heavy armor,AC 16,"You have resistance to lightning damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Necrotic Resistance,rare,heavy armor,AC 16,"You have resistance to necrotic damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Poison Resistance,rare,heavy armor,AC 16,"You have resistance to poison damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Psychic Resistance,rare,heavy armor,AC 16,"You have resistance to psychic damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Radiant Resistance,rare,heavy armor,AC 16,"You have resistance to radiant damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Mail of Thunder Resistance,rare,heavy armor,AC 16,"You have resistance to thunder damage while you wear this armor.Made of interlocking metal rings, chain mail includes a layer of quilted fabric worn underneath the mail to prevent chafing and to cushion the impact of blows. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
Chain Shirt,none,medium armor,AC 13 + Dex (max 2),"Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Acid Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to acid damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Cold Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to cold damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Fire Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to fire damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Force Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to force damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Lightning Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to lightning damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Necrotic Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to necrotic damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Poison Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to poison damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Psychic Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to psychic damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Radiant Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to radiant damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Chain Shirt of Thunder Resistance,rare,medium armor,AC 13 + Dex (max 2),"You have resistance to thunder damage while you wear this armor.Made of interlocking metal rings, a chain shirt is worn between layers of clothing or leather. This armor offers modest protection to the wearer's upper body and allows the sound of the rings rubbing against one another to be muffled by outer layers."
Circlet of Blasting,uncommon,wondrous item,,"While wearing this circlet, you can use an action to cast the scorching ray spell with it. When you make the spell's attacks, you do so with an attack bonus of +5. The circlet can't be used this way again until the next dawn."
Cloak of Elvenkind,uncommon,wondrous item,,"While you wear this cloak with its hood up, Wisdom (Perception) checks made to see you have disadvantage, and you have advantage on Dexterity (Stealth) checks made to hide, as the cloak's color shifts to camouflage you. Pulling the hood up or down requires an action."
Cloak of Invisibility,legendary,wondrous item,,"While wearing this cloak, you can pull its hood over your head to cause yourself to become invisible. While you are invisible, anything you are carrying or wearing is invisible with you. You become visible when you cease wearing the hood. Pulling the hood up or down requires an action.Deduct the time you are invisible, in increments of 1 minute, from the cloak's maximum duration of 2 hours. After 2 hours of use, the cloak ceases to function. For every uninterrupted period of 12 hours the cloak goes unused, it regains 1 hour of duration."
Cloak of Protection,uncommon,wondrous item,,You gain a +1 bonus to AC and saving throws while you wear this cloak.
Club,none,"weapon, simple weapon, melee weapon","1d4, bludgeoning, - light"," Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Club of Warning,uncommon,"weapon, simple weapon, melee weapon","1d4, bludgeoning, - light","This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
Copper Dragon Scale Mail,very rare,medium armor,AC 14 + Dex (max 2),"Dragon scale mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them to humanoids. Other times, hunters carefully skin and preserve the hide of a dead dragon. In either case, dragon scale mail is highly valued. While wearing this armor, you gain a +1 bonus to AC, you have advantage on saving throws against the Frightful Presence and breath weapons of dragons, and you have resistance to acid damage.Additionally, you can focus your senses as an action to magically discern the distance and direction to the closest copper dragon within 30 miles of you. This special action can't be used again until the next dawn.The wearer has disadvantage on Dexterity (Stealth) checks."
Dagger,none,"weapon, simple weapon, melee weapon","1d4, piercing, - finesse, light, thrown (20/60 ft.)"," Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Dagger of Venom,rare,"weapon (dagger), simple weapon, melee weapon","1d4, piercing, - finesse, light, thrown (20/60 ft.)","You gain a +1 bonus to attack and damage rolls made with this magic weapon.You can use an action to cause thick, black poison to coat the blade. The poison remains for 1 minute or until an attack using this weapon hits a creature. That creature must succeed on a DC 15 Constitution saving throw or take 2d10 poison damage and become poisoned for 1 minute. The dagger can't be used this way again until the next dawn. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Dagger of Warning,uncommon,"weapon, simple weapon, melee weapon","1d4, piercing, - finesse, light, thrown (20/60 ft.)","This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
Dart,none,"weapon, simple weapon, ranged weapon","1d4, piercing, - finesse, thrown (20/60 ft.)"," Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
